,country_name,iso3c,iso2c,world_region,floodpop_ghsl_rural,floodpop_ghsl_semiurban,floodpop_ghsl_urban,floodpop_gridpop3_rural,floodpop_gridpop3_semiurban,floodpop_gridpop3_urban,floodpop_hrsl_rural,floodpop_hrsl_semiurban,floodpop_hrsl_urban,floodpop_ghsl_tot,floodpop_gridpop3_tot,floodpop_hrsl_tot,bias_factor
131,Poland,POL,PL,Europe,171993.4521,243828.2912,247339.0177,0,0,0,154992.8301,175861.0586,218346.5251,663160.761,247339.0177,549200.4138,0.828155775
132,Portugal,PRT,PO,Europe,1285.636259,1997.388422,15414.56405,0,0,0,1310.469997,1884.440596,17786.12947,18697.58873,15414.56405,20981.04006,1.122125444
133,Puerto Rico,PRI,RQ,Caribbean,188.3017076,2624.79111,2801.031398,0,0,0,240.335953,2115.89174,2817.876728,5614.124216,2801.031398,5174.104421,0.921622718
134,Qatar,QAT,QA,SW Asia,17.95110841,91.29204374,539.405407,0,0,0,504.64577,731.2622782,143.3765507,648.6485592,539.405407,1379.284599,2.126397383
135,Rep of the Congo,COG,CF,Africa,1610.608672,802.4855356,20579.17948,0,0,0,942.5030461,1232.503983,616.2519917,22992.27369,20579.17948,2791.259021,0.121399869
136,Reunion,REU,RE,Indian Ocean,0,0,0,0,0,0,0,0,0,0,0,0,NA
137,Romania,ROU,RO,Europe,59240.68884,61823.59261,63070.28997,0,0,0,31813.52056,43655.60059,53750.52403,184134.5714,63070.28997,129219.6452,0.701767431
138,Rwanda,RWA,RW,Africa,179.4021716,3618.917369,0,0,0,0,830.6606533,117.3877265,0,3798.319541,0,948.0483798,0.249596794
139,Saint Lucia,LCA,ST,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,NA
140,Samoa,WSM,WS,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,NA
141,San Marino,SMR,SM,Europe,0,0,0,0,0,0,0.323155079,0,0,0,0,0.323155079,Inf
142,Sao Tome & Principe,STP,TP,Africa,0,0,0,0,0,0,0,0,0,0,0,0,NA
143,Saudi Arabia,SAU,SA,SW Asia,906.568506,8537.240442,2169.790229,0,0,0,2858.362166,1986.948605,1371.632593,11613.59918,2169.790229,6216.943364,0.53531582
144,Senegal,SEN,SG,Africa,23561.20476,75798.24746,50779.53868,0,0,0,8340.305169,5344.942881,9696.823524,150138.9909,50779.53868,23382.07157,0.155736171
145,Serbia,SRB,RI,Europe,15192.4674,4974.038566,31869.95835,0,0,0,11077.58115,1519.918981,8105.883678,52036.46432,31869.95835,20703.38381,0.397863
146,Seychelles,SYC,SE,Indian Ocean,0,0,0,0,0,0,0,0,0,0,0,0,NA
147,Sierra Leone,SLE,SL,Africa,30377.31936,36798.77132,5605.999208,35112.44543,7278.133962,3963.016368,31675.86882,8072.120676,12032.5915,72782.08989,47996.5786,51780.581,0.711446746
148,Singapore,SGP,SN,SE Asia,34.89937883,240.6297228,72066.52878,0,0,0,388.9140944,113.1145362,86380.69449,72342.05788,72066.52878,86882.72312,1.200998778
149,Slovakia,SVK,LO,Europe,24906.29832,21447.09712,9845.06653,0,0,0,11696.55749,16045.46497,9639.838473,56198.46197,9845.06653,37381.86093,0.665175872
150,Slovenia,SVN,SI,Europe,3891.670734,3617.225918,274.8295593,0,0,0,3463.035847,3357.47605,197.9504635,7783.726211,274.8295593,7018.462361,0.901684125
151,Solomon Is,SLB,BP,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,NA
