system:index,CLOUD_COVER,DELTA,DFO_ID,LANDSAT_5,LANDSAT_7,LANDSAT_8,LANDSAT_ALL,X,Y,.geo
DFO_2576_From_20041007_to_20041104,20,1,2576.0,0,0,0,0,3.635931279830107,7.236407891799458,
DFO_2584_From_20041115_to_20041129,20,1,2584.0,0,4,0,4,-99.20662223878776,30.266521121046875,
DFO_2586_From_20041107_to_20041215,20,1,2586.0,4,0,0,4,-57.981812607878105,-23.411702745167744,
DFO_2587_From_20041119_to_20041129,20,1,2587.0,0,0,0,0,121.89025046398336,12.064047356711951,
DFO_2588_From_20041120_to_20041127,20,1,2588.0,0,0,0,0,-67.710208707967,9.871367402712465,
DFO_2589_From_20041123_to_20041128,20,1,2589.0,0,0,0,0,121.89025046398336,12.064047356711951,
DFO_2592_From_20041129_to_20041222,20,1,2592.0,0,0,0,0,121.89025046398336,12.064047356711951,
DFO_2596_From_20041206_to_20041210,20,1,2596.0,1,0,0,1,-61.56623033294717,-27.99140758813199,
DFO_2597_From_20041207_to_20041220,20,1,2597.0,0,2,0,2,-92.22027050630453,35.788670842805644,
DFO_2598_From_20041208_to_20041222,20,1,2598.0,0,0,0,0,149.19781687435676,-30.573053620686288,
DFO_2599_From_20041209_to_20050101,20,1,2599.0,0,2,0,2,57.22118039182568,29.631907390386115,
DFO_2600_From_20041210_to_20041218,20,1,2600.0,0,0,0,0,101.03351999892213,8.763363149180206,
DFO_2601_From_20041211_to_20041223,20,1,2601.0,0,0,0,0,80.76528139983597,7.8747438687728355,
DFO_2606_From_20050105_to_20050201,20,1,2606.0,0,1,0,1,-93.8475322811447,40.91756634812559,
DFO_2612_From_20050111_to_20050210,20,1,2612.0,0,0,0,0,104.08554618802103,-3.5894549650231444,
DFO_2613_From_20050115_to_20050225,20,1,2613.0,0,0,0,0,-57.955933416094915,5.24958128651405,
DFO_2620_From_20050127_to_20050328,20,1,2620.0,0,0,0,0,18.628847694642584,-9.63895252400345,
DFO_2625_From_20050211_to_20050226,20,1,2625.0,0,0,0,0,-68.76159838496406,7.013402530141343,
DFO_2626_From_20050217_to_20050324,20,1,2626.0,0,0,0,0,21.120342188929815,41.37702580578909,
DFO_2627_From_20050219_to_20050225,20,1,2627.0,0,0,0,0,110.50400891281373,-7.290344148117991,
DFO_2629_From_20050224_to_20050323,20,1,2629.0,0,2,0,2,69.2576431214435,44.400491834099626,
DFO_2632_From_20050305_to_20050405,20,1,2632.0,0,0,0,0,62.21778335428603,35.88898107897651,
DFO_2633_From_20050302_to_20050315,20,1,2633.0,0,0,0,0,47.73647427189297,-18.61968569308289,
DFO_2634_From_20050306_to_20050309,20,1,2634.0,0,0,0,0,3.634885299267328,22.537304494510664,
DFO_2637_From_20050313_to_20050325,20,1,2637.0,0,0,0,0,44.575542349798006,31.770598129232564,
DFO_2638_From_20050301_to_20050401,20,1,2638.0,0,0,0,0,29.925147541563806,-9.498298942465864,
DFO_2640_From_20050317_to_20050408,20,1,2640.0,0,6,0,6,20.51656882344438,48.18085444301132,
DFO_2641_From_20050320_to_20050324,20,1,2641.0,0,0,0,0,69.85401750855706,29.94935252287451,
DFO_2648_From_20050418_to_20050604,20,1,2648.0,0,0,0,0,21.137653818307967,45.77632576608344,
DFO_2649_From_20050423_to_20050614,20,1,2649.0,0,0,0,0,44.62604734693139,7.522107426904068,
DFO_2650_From_20050425_to_20050530,20,1,2650.0,0,5,0,5,46.329697144406985,50.311379523295315,
DFO_2657_From_20050525_to_20050528,20,1,2657.0,0,0,0,0,92.0121883749919,24.2975268425161,
DFO_2668_From_20050610_to_20050612,20,1,2668.0,0,0,0,0,125.99082677607561,46.59481480281205,
DFO_2669_From_20050611_to_20050617,20,1,2669.0,0,0,0,0,120.70774763141124,23.594509442442057,
DFO_2675_From_20050621_to_20050805,20,1,2675.0,0,0,0,0,72.11683675636226,33.06731058908361,
DFO_2676_From_20050623_to_20050630,20,1,2676.0,0,0,0,0,83.97056924402665,27.03192782996974,
DFO_2680_From_20050628_to_20050715,20,1,2680.0,0,0,0,0,74.88233879719188,19.26567765736018,
DFO_2683_From_20050630_to_20050703,20,1,2683.0,0,0,0,0,152.6439788725751,-27.55108431520852,
DFO_2684_From_20050628_to_20050719,20,1,2684.0,0,0,0,0,101.84240983025684,30.245977434164775,
DFO_2686_From_20050702_to_20050715,20,1,2686.0,0,0,0,0,81.12463910351885,19.548634423950627,
DFO_2688_From_20050701_to_20050812,20,1,2688.0,2,0,0,2,125.85900334561069,46.745103711462704,
DFO_2689_From_20050705_to_20050814,20,1,2689.0,0,0,0,0,77.95311041237841,28.885586342486313,
DFO_2690_From_20050707_to_20050727,20,1,2690.0,0,0,0,0,86.11076459617126,23.935330715810323,
DFO_2692_From_20050712_to_20050728,20,1,2692.0,0,0,0,0,24.59358885311622,44.881253516711006,
DFO_2693_From_20050710_to_20050718,20,1,2693.0,0,0,0,0,112.98927374788215,32.16189184660252,
