iso2c,country,fpop_rate,pop2000,pop_2000_all_rural,pop_2000_all_semiurban,pop_2000_all_urban,pop2000_flood,pop_2000_flood_rural,pop_2000_flood_semiurban,pop_2000_flood_urban,pop_2000_nonflood_rural,pop_2000_nonflood_semiurban,pop_2000_nonflood_urban,popdelta,pop_delta_all_rural,pop_delta_all_semiurban,pop_delta_all_urban,pdelta_flood,pop_delta_flood_rural,pop_delta_flood_semiurban,pop_delta_flood_urban,pop_delta_nonflood_rural,pop_delta_nonflood_semiurban,pop_delta_nonflood_urban,region,iso3c,bias_factor,hrsl_data,region_mean_bias,region_sd_bias
JM,Jamaica,0,2676938.551,435979.4068,1154075.295,1086883.848,0,0,0,0,435979.4068,1154075.295,1086883.848,204503.7868,122190.1522,74086.56625,8227.068396,0,0,0,0,122190.1522,74086.56625,8227.068396,Caribbean,JAM,0.08718361,Y,0.644974975,0.57296489
CU,Cuba,0,3619.547567,3619.547567,0,0,0,0,0,0,3619.547567,0,0,592.0277411,592.0277411,0,0,0,0,0,0,592.0277411,0,0,Caribbean,CUB,0.644974975,N,0.644974975,0.57296489
CJ,Cayman Is,0,43746.43568,5947.816214,37798.61947,0,0,0,0,0,5947.816214,37798.61947,0,19124.04766,1297.134495,17826.91317,0,0,0,0,0,1297.134495,17826.91317,0,Caribbean,CYM,1.893464185,Y,0.644974975,0.57296489
SH,St Helena,0,5423.259263,5423.259263,0,0,0,0,0,0,5423.259263,0,0,-1253.385746,-1253.385746,0,0,0,0,0,0,-1253.385746,0,0,Western Africa,SHN,0.266098533,N,0.266098533,0.206658118
TX,Turkmenistan,0,5790455.777,751088.4035,1777673.74,3261693.633,0,0,0,0,751088.4035,1777673.74,3261693.633,1121930.916,170757.1698,292338.623,658835.1231,0,0,0,0,170757.1698,292338.623,658835.1231,Central Asia,TKM,2.408778559,Y,1.033888971,0.723611172
KG,Kyrgyzstan,1.832049569,6514492.496,897536.2615,2650100.199,2966856.036,13015.55529,1212.667268,9534.457368,2268.430651,896323.5942,2640565.741,2964587.606,1302008.704,221272.1692,471089.2417,609647.2935,4765.771553,580.0079372,3500.69184,685.0717759,220692.1612,467588.5498,608962.2217,Central Asia,KGZ,0.91926545,Y,1.033888971,0.723611172
KZ,Kazakhstan,0.147448925,22265428.75,4482047.367,8279934.751,9503446.634,119715.6843,22522.05629,69003.43528,28190.19269,4459525.31,8210931.316,9475256.441,3671553.634,198812.4269,327052.5327,3145688.674,2910.794045,4335.729301,-2608.031856,1183.0966,194476.6976,329660.5645,3144505.577,Central Asia,KAZ,0.617925519,Y,1.033888971,0.723611172
TI,Tajikistan,0.685116204,7982485.486,1128640.908,2905343.718,3948500.859,4733.700091,1091.231694,718.6174865,2923.85091,1127549.677,2904625.101,3945577.009,2978419.258,185845.7665,1238806.048,1553767.444,1210.076069,1313.355086,366.1953632,-469.4743796,184532.4114,1238439.853,1554236.918,Central Asia,TJK,0.447035844,Y,1.033888971,0.723611172
UZ,Uzbekistan,2.345116885,32314823.26,2620992.899,10339157.17,19354673.19,30624.5923,11466.191,12909.81532,6248.585983,2609526.708,10326247.36,19348424.61,7026834.501,1100913.752,2544538.7,3381382.049,15616.8252,9891.956294,3127.149834,2597.719074,1091021.795,2541411.551,3378784.33,Central Asia,UZB,0.776439481,Y,1.033888971,0.723611172
RE,Reunion,0,777105.7041,83020.45397,313434.6784,380650.5717,0,0,0,0,83020.45397,313434.6784,380650.5717,130978.0399,16405.07771,56048.21781,58524.74441,0,0,0,0,16405.07771,56048.21781,58524.74441,Eastern Africa,REU,0.658483594,N,0.658483594,0.779716392
MP,Mauritius,0,1249760.504,125806.0285,560369.9198,563584.5555,0,0,0,0,125806.0285,560369.9198,563584.5555,93069.62023,10486.45952,79617.91135,2965.249358,0,0,0,0,10486.45952,79617.91135,2965.249358,Eastern Africa,MUS,0.658483594,N,0.658483594,0.779716392
SE,Seychelles,0,72689.00345,27741.59357,44947.40988,0,0,0,0,0,27741.59357,44947.40988,0,13385.19386,3328.341675,10056.85218,0,0,0,0,0,3328.341675,10056.85218,0,Eastern Africa,SYC,0.658483594,N,0.658483594,0.779716392
MX,Mexico,0,110478674.6,22139487.26,22780677.91,65558509.43,0,0,0,0,22139487.26,22780677.91,65558509.43,26078031.94,4827797.308,7126327.366,14123907.27,0,0,0,0,4827797.308,7126327.366,14123907.27,Central America,MEX,0.605888732,Y,0.38848687,0.267723403
US,United States,0.837786512,149709977,51974861.94,43459880.64,54275234.39,22859.78609,11688.85478,7111.670559,4059.260747,51963173.09,43452768.97,54271175.13,28517750.82,7779526.761,9987051.968,10751172.09,3648.127871,2586.591977,675.8252119,385.710682,7776940.169,9986376.143,10750786.38,Northern America,USA,0.93927076,Y,0.93927076,0
BF,"Bahamas, The",0,321337.3479,72522.76308,63757.94462,185056.6402,0,0,0,0,72522.76308,63757.94462,185056.6402,97953.75533,24488.78184,19469.52583,53995.44767,0,0,0,0,24488.78184,19469.52583,53995.44767,Caribbean,BHS,0.644974975,N,0.644974975,0.57296489
TK,Turks & Caicos Is,0,18658.14118,9063.330074,9594.811109,0,0,0,0,0,9063.330074,9594.811109,0,16152.833,4446.145276,11706.68772,0,0,0,0,0,4446.145276,11706.68772,0,Caribbean,TCA,0.644974975,N,0.644974975,0.57296489
BD,Bermuda,0,64850.3734,16577.13214,48273.24126,0,0,0,0,0,16577.13214,48273.24126,0,-3676.290426,444.4885382,-4120.778964,0,0,0,0,0,444.4885382,-4120.778964,0,Northern America,BMU,0.93927076,N,0.93927076,0
GL,Greenland,0,91639.80032,56680.92304,34958.87728,0,0,0,0,0,56680.92304,34958.87728,0,3649.979647,-9556.027261,13206.00691,0,0,0,0,0,-9556.027261,13206.00691,0,Northern America,GRL,0.93927076,N,0.93927076,0
CA,Canada,1.032609704,30069713.11,7819678.549,6164604.879,16085429.68,15769.86137,4428.896924,1994.478487,9346.485961,7815249.652,6162610.401,16076083.2,4288603.495,513892.7149,801322.4542,2973388.326,2322.473076,377.2847468,525.1726877,1420.015642,513515.4302,800797.2815,2971968.31,Northern America,CAN,0.93927076,N,0.93927076,0
SB,St Pierre & Miquelon,0,8368.940887,1059.457393,7309.483494,0,0,0,0,0,1059.457393,7309.483494,0,126.6433906,298.1223579,-171.4789672,0,0,0,0,0,298.1223579,-171.4789672,0,Northern America,SPM,0.93927076,N,0.93927076,0
CA,Canada,0,41254.82673,29967.49957,11287.32717,0,0,0,0,0,29967.49957,11287.32717,0,9366.156956,6815.504298,2550.652658,0,0,0,0,0,6815.504298,2550.652658,0,Northern America,CAN,0.93927076,N,0.93927076,0
